Comment,Designator,Footprint, LCSC Part Number
1u,C1 ,SMD 0402,C52923
10u 25V,C10 C11 ,SMD 0603,C96446
10u,C2 ,SMD 0603,C96446
12pf,C3 C5 ,SMD 0402,C26406
0.1u,C4 C6 ,SMD 0402,C307331
10u 50v,C7 ,SMD 0805,C440198
0.1u 50V,C8 C9 ,SMD 0402,C307331
LED Green/Yellow,D1,SMD 0402,C165979
LED Red,D2,SMD 0402,C165980
LED Yellow,D3 ,SMD 0402,C165978
MB1S,D4 D5 ,SOIC 4,C232821 
1N5819WS,D6 ,SOD-323,C191023
Conn_01x04_Male,J1 J2 ,Molex 2.54 x 4,C31753
SWD,J5 ,Header 2x5 1.27mm SWD,C239059
10uh,L2 ,Coil 10uh,C107342
15nh,L3 ,SMD 0402,C27143
AO3401A,Q1 ,SOT-23,C15127
10R,R1 R2 R3 R4 ,SMD 0402,C25077
5K1,R5 R6 R7 ,SMD 0402,C25905
1K,R8 R9 ,SMD 0402,C11702
32.768Khz,Y1 ,Crystal,C479190
